
@contest "2010 Codeforces Beta Round #1 (training)"
@s 13,C,3,6601,RJ
@s 65,A,4,6626,RJ
@s 37,B,2,6640,RJ
@s 39,B,4,6657,RJ
@s 40,B,5,6683,RJ
@s 44,B,10,6686,RJ
@s 21,C,2,6714,RJ
@s 58,A,1,6727,RJ
@s 34,B,3,6742,RJ
@s 57,A,3,6749,RJ
@s 32,B,4,6763,RJ
@s 45,B,4,6833,RJ
@s 46,B,5,6854,RJ
@s 38,B,1,6884,RJ
@s 37,B,3,6884,RJ
@s 13,C,4,6900,OK
@s 21,C,3,6929,RJ
@s 36,B,4,6955,RJ
@s 23,C,4,6971,RJ
@s 44,B,11,6996,RJ
@s 43,B,1,7004,RJ
@s 45,B,5,7007,RJ
@s 27,C,4,7055,RJ
@s 12,C,2,7080,OK
@s 46,B,6,7099,RJ
@s 38,B,2,7100,RJ
@s 23,C,5,7113,RJ
@s 59,A,4,7135,RJ
@s 21,C,4,7142,RJ
